"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"1","bupaR","C:/Users/gasimmons/Documents/R/win-library/3.5","0.4.2",NA,NA,"magrittr, dplyr, data.table, shiny, miniUI, purrr, tidyr,
glue, forcats, rlang, eventdataR (>= 0.2.0)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.2"
"2","DiagrammeR","C:/Users/gasimmons/Documents/R/win-library/3.5","1.0.0",NA,"R (>= 3.2.0)","dplyr (>= 0.7.4), downloader (>= 0.4), glue (>= 1.2.0),
htmltools (>= 0.3.6), htmlwidgets (>= 1.0), igraph (>= 1.1.2),
influenceR (>= 0.1.0), magrittr (>= 1.5), purrr (>= 0.2.4),
RColorBrewer (>= 1.1-2), readr (>= 1.1.1), rlang (>= 0.2.0),
rstudioapi (>= 0.7), rgexf (>= 0.15.3), scales (>= 0.5.0),
stringr (>= 1.3.0), tibble (>= 1.4.2), tidyr (>= 0.8.0),
viridis (>= 0.5.0), visNetwork (>= 2.0.3)",NA,"covr, DiagrammeRsvg, rsvg, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"3","dplyr","C:/Users/gasimmons/Documents/R/win-library/3.5","0.8.0.1",NA,"R (>= 3.1.2)","assertthat (>= 0.2.0), glue (>= 1.1.1), magrittr (>= 1.5),
methods, pkgconfig (>= 2.0.1), R6 (>= 2.2.2), Rcpp (>= 1.0.0),
rlang (>= 0.3.0), tibble (>= 2.0.0), tidyselect (>= 0.2.5),
utils","BH (>= 1.58.0-1), plogr (>= 0.1.10), Rcpp (>= 1.0.0)","bit64 (>= 0.9.7), callr (>= 3.1.1), covr (>= 3.0.1), DBI (>=
0.7.14), dbplyr (>= 1.2.0), dtplyr (>= 0.0.2), ggplot2 (>=
2.2.1), hms (>= 0.4.1), knitr (>= 1.19), Lahman (>= 3.0-1),
lubridate (>= 1.7.4), MASS, mgcv (>= 1.8.23), microbenchmark
(>= 1.4.4), nycflights13 (>= 0.2.2), rmarkdown (>= 1.8), RMySQL
(>= 0.10.13), RPostgreSQL (>= 0.6.2), RSQLite (>= 2.0),
testthat (>= 2.0.0), withr (>= 2.1.1), broom (>= 0.5.1), purrr
(>= 0.3.0), readr (>= 1.3.1), crayon (>= 1.3.4)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.2"
"4","edeaR","C:/Users/gasimmons/Documents/R/win-library/3.5","0.8.2",NA,"R(>= 3.0.0)","bupaR (>= 0.4.1),dplyr,data.table, ggplot2, ggthemes, glue,
tibble, shiny, miniUI, tidyr, shinyTime, lubridate, purrr,
stringr,rlang, zoo, hms",NA,"knitr, eventdataR, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.2"
"5","eventdataR","C:/Users/gasimmons/Documents/R/win-library/3.5","0.2.0",NA,"R (>= 3.0)",NA,NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.2"
"6","lubridate","C:/Users/gasimmons/Documents/R/win-library/3.5","1.7.4",NA,"methods, R (>= 3.0.0)","stringr, Rcpp (>= 0.12.13),","Rcpp,","testthat, knitr, covr","chron, fts, timeSeries, timeDate, tis, tseries, xts, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"7","processmapR","C:/Users/gasimmons/Documents/R/win-library/3.5","0.3.3",NA,NA,"dplyr, bupaR (>= 0.4.0), edeaR (>= 0.8.0), DiagrammeR (>=
1.0.0), ggplot2, ggthemes, stringr, purrr, data.table, shiny,
miniUI, glue, forcats, hms, RColorBrewer, plotly, rlang,
scales, tidyr",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.2"
"8","processmonitR","C:/Users/gasimmons/Documents/R/win-library/3.5","0.1.0",NA,"R (>= 3.0)","magrittr, ggplot2, dplyr, bupaR, edeaR, shiny, miniUI",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.2"
"9","readr","C:/Users/gasimmons/Documents/R/win-library/3.5","1.1.1",NA,"R (>= 3.0.2)","Rcpp (>= 0.12.0.5), tibble, hms, R6","Rcpp, BH","curl, testthat, knitr, rmarkdown, stringi, covr",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"10","shiny","C:/Users/gasimmons/Documents/R/win-library/3.5","1.2.0",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.4.4), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest, htmltools (>= 0.3.5), R6 (>= 2.0),
sourcetools, later (>= 0.7.2), promises (>= 1.0.1), tools,
crayon, rlang",NA,"datasets, Cairo (>= 1.5-5), testthat, knitr (>= 1.6),
markdown, rmarkdown, ggplot2, magrittr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.1"
"11","shinydashboard","C:/Users/gasimmons/Documents/R/win-library/3.5","0.7.0",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6)",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","3.5.1"
"12","stringr","C:/Users/gasimmons/Documents/R/win-library/3.5","1.3.1",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"13","xesreadR","C:/Users/gasimmons/Documents/R/win-library/3.5","0.2.2",NA,"R(>= 3.0.0)","bupaR, dplyr, XML, xml2, data.table, tidyr, purrr, stringr,
lubridate",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.2"
